username,repo_name,stars,repo_url
public-apis,public-apis,239000,https://github.com/public-apis/public-apis
neovim,neovim,65800,https://github.com/neovim/neovim
tiangolo,fastapi,57800,https://github.com/tiangolo/fastapi
strapi,strapi,53700,https://github.com/strapi/strapi
hoppscotch,hoppscotch,51400,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,47500,https://github.com/ocornut/imgui
meilisearch,meilisearch,36400,https://github.com/meilisearch/meilisearch
slatedocs,slate,35200,https://github.com/slatedocs/slate
hasura,graphql-engine,29700,https://github.com/hasura/graphql-engine
ccxt,ccxt,28200,https://github.com/ccxt/ccxt
Kong,insomnia,28100,https://github.com/Kong/insomnia
Binaryify,NeteaseCloudMusicApi,27900,https://github.com/Binaryify/NeteaseCloudMusicApi
httpie,httpie,27700,https://github.com/httpie/httpie
YMFE,yapi,26000,https://github.com/YMFE/yapi
encode,django-rest-framework,25500,https://github.com/encode/django-rest-framework
trpc,trpc,25500,https://github.com/trpc/trpc
littlecodersh,ItChat,23800,https://github.com/littlecodersh/ItChat
directus,directus,21500,https://github.com/directus/directus
microsoft,api-guidelines,21300,https://github.com/microsoft/api-guidelines
paularmstrong,normalizr,21000,https://github.com/paularmstrong/normalizr
