username,repo_name,stars,repo_url
CyC2018,CS-Notes,164000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,102000,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,51200,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,46300,https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,40700,https://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,38600,https://github.com/youngyangyang04/leetcode-master
carbon-language,carbon-lang,30400,https://github.com/carbon-language/carbon-lang
Light-City,CPlusPlusThings,30400,https://github.com/Light-City/CPlusPlusThings
huihut,interview,28900,https://github.com/huihut/interview
microsoft,calculator,27100,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,27000,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,26000,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,24300,https://github.com/TheAlgorithms/C-Plus-Plus
doocs,leetcode,22000,https://github.com/doocs/leetcode
changkun,modern-cpp-tutorial,20800,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,20100,https://github.com/ethereum/solidity
dragonflydb,dragonfly,19300,https://github.com/dragonflydb/dragonfly
microsoft,vcpkg,18600,https://github.com/microsoft/vcpkg
gabime,spdlog,18100,https://github.com/gabime/spdlog
ssloy,tinyrenderer,16900,https://github.com/ssloy/tinyrenderer
