username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,159000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,52100,https://github.com/junegunn/fzf
sharkdp,bat,41200,https://github.com/sharkdp/bat
sherlock-project,sherlock,41100,https://github.com/sherlock-project/sherlock
BurntSushi,ripgrep,37800,https://github.com/BurntSushi/ripgrep
google,zx,37300,https://github.com/google/zx
wagoodman,dive,36700,https://github.com/wagoodman/dive
chubin,cheat.sh,35300,https://github.com/chubin/cheat.sh
jesseduffield,lazygit,34900,https://github.com/jesseduffield/lazygit
cli,cli,32299,https://github.com/cli/cli
spf13,cobra,31800,https://github.com/spf13/cobra
n8n-io,n8n,30200,https://github.com/n8n-io/n8n
httpie,httpie,27700,https://github.com/httpie/httpie
sharkdp,fd,27400,https://github.com/sharkdp/fd
alebcay,awesome-shell,27400,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,26600,https://github.com/ibraheemdev/modern-unix
angular,angular-cli,26100,https://github.com/angular/angular-cli
acheong08,ChatGPT,25400,https://github.com/acheong08/ChatGPT
tqdm,tqdm,24800,https://github.com/tqdm/tqdm
google,python-fire,24500,https://github.com/google/python-fire
