username,repo_name,stars,repo_url
vercel,next.js,106000,https://github.com/vercel/next.js
rust-lang,rust,81400,https://github.com/rust-lang/rust
sveltejs,svelte,67600,https://github.com/sveltejs/svelte
webpack,webpack,63000,https://github.com/webpack/webpack
gatsbyjs,gatsby,54400,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,44700,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,42300,https://github.com/parcel-bundler/parcel
babel,babel,42200,https://github.com/babel/babel
evanw,esbuild,35300,https://github.com/evanw/esbuild
vlang,v,33700,https://github.com/vlang/v
carbon-language,carbon-lang,30400,https://github.com/carbon-language/carbon-lang
markedjs,marked,29700,https://github.com/markedjs/marked
swc-project,swc,27300,https://github.com/swc-project/swc
vercel,pkg,23200,https://github.com/vercel/pkg
ziglang,zig,22000,https://github.com/ziglang/zig
v8,v8,21200,https://github.com/v8/v8
typst,typst,17400,https://github.com/typst/typst
AssemblyScript,assemblyscript,15500,https://github.com/AssemblyScript/assemblyscript
nim-lang,Nim,15000,https://github.com/nim-lang/Nim
RustPython,RustPython,15000,https://github.com/RustPython/RustPython
